cgpa,internships,projects_count,github_activity_score,leetcode_rating,codechef_rating,coding_score,aptitude_score,communication_score,attendance_percentage,certifications_count,project_impact_score,certification_impact_score,placement_score
7.6,4,2,1,1454,1610,17.6,30,66,94,0,75,51,70.38
8.7,2,1,19,0,900,3.6,29,71,92,1,59,73,71.13
6.7,1,2,35,1574,0,18.0,94,51,73,5,54,41,71.67
7.1,1,1,32,0,900,1.9,52,63,76,0,46,52,60.2
7.0,2,3,53,0,900,2.4,12,79,71,4,86,71,76.41
5.7,4,0,19,943,914,5.2,54,69,66,1,75,33,60.97
7.9,3,3,45,1722,1379,19.7,51,68,86,0,40,32,77.16
7.8,1,4,89,1460,1804,22.2,41,47,70,4,80,60,82.57
7.5,2,3,33,1213,0,8.1,52,20,75,2,42,35,63.79
7.2,1,1,17,0,900,4.6,62,29,74,4,76,55,59.0
5.8,1,1,46,0,0,2.0,52,67,96,2,65,47,60.48
7.0,0,4,52,1805,1837,26.8,75,47,78,0,90,65,77.59
7.1,0,2,32,1276,1303,11.6,58,40,86,2,73,60,65.21
6.5,1,2,40,1742,0,20.0,60,48,74,2,33,80,64.37
7.3,1,1,39,1555,0,15.1,56,59,71,2,63,65,73.76
8.0,0,2,36,1377,1094,12.3,37,64,82,2,84,78,70.19
9.8,2,2,20,1197,969,6.4,38,57,88,1,88,50,78.86
7.7,0,3,39,1285,0,8.4,62,77,72,2,43,85,70.58
7.8,1,2,42,1763,0,19.0,46,59,84,2,52,35,74.37
7.4,1,2,29,1845,1914,30.4,70,57,75,3,84,22,72.52
5.2,4,4,50,1708,1461,20.9,53,40,61,2,72,51,76.7
7.5,1,2,20,1491,1821,20.5,46,93,70,2,77,85,70.51
7.6,0,4,75,1707,1759,25.4,64,59,77,5,73,82,87.09
10.0,1,0,8,1594,1624,19.7,60,78,80,2,33,47,75.03
7.3,3,0,8,1319,1705,19.5,30,64,84,1,63,32,64.75
7.9,5,1,32,1225,0,7.7,27,83,92,1,85,18,77.94
7.5,1,3,25,1405,1312,15.4,70,48,78,2,59,54,70.98
6.1,1,5,70,1309,916,8.1,46,66,63,3,76,49,68.06
8.9,3,1,44,0,0,1.1,62,61,80,4,19,72,76.91
8.4,0,2,33,1538,0,14.5,64,67,73,3,52,78,75.89
8.4,2,2,37,1981,0,26.4,81,59,67,2,64,56,85.61
6.4,1,0,12,1583,1276,14.0,89,89,78,2,50,39,64.95
9.2,0,0,25,1940,1777,31.0,39,65,84,2,45,62,73.47
5.8,1,0,13,1500,0,14.0,57,32,84,1,35,76,49.72
8.2,1,1,59,1449,1535,17.5,57,62,69,2,30,61,73.91
10.0,2,2,37,1045,900,6.0,87,71,89,3,99,59,91.78
6.3,4,1,15,1691,1576,21.8,34,60,83,4,73,47,70.4
6.8,1,4,80,1303,1078,7.3,85,39,94,1,79,74,82.46
7.6,3,6,78,1241,1409,11.0,70,43,98,0,69,56,85.96
6.9,0,1,13,1196,1291,8.4,50,89,84,3,44,57,66.38
5.6,1,3,28,1606,1422,17.6,75,52,89,2,66,50,67.69
7.6,0,2,41,1326,1364,13.5,53,60,83,1,38,56,64.19
6.2,4,1,15,1994,2162,36.0,30,91,62,1,62,27,75.3
8.1,2,4,46,1835,1910,29.2,62,76,54,4,65,29,82.48
6.4,2,1,13,0,900,3.7,55,58,72,3,71,48,64.8
9.4,3,0,4,1339,1916,21.0,51,71,82,4,26,76,81.04
6.6,2,3,58,800,0,3.6,45,91,63,1,70,41,70.5
7.1,4,1,29,0,900,3.5,71,50,77,1,56,53,73.49
8.5,2,2,31,1535,1354,15.5,59,78,86,2,70,62,82.83
6.0,4,4,66,1406,1172,11.9,51,68,62,2,56,52,81.43
7.8,1,3,44,1766,0,20.8,49,63,87,1,51,14,71.82
9.1,0,2,37,1504,2004,23.3,51,58,80,2,36,66,74.87
5.6,1,5,59,1845,0,24.5,49,62,77,2,35,100,74.95
7.7,0,2,24,1647,1631,20.7,52,62,65,3,89,39,68.43
7.8,1,1,24,0,900,4.1,73,74,84,3,94,77,74.38
8.4,1,4,60,1116,1025,4.6,53,38,79,1,75,19,72.09
6.0,2,4,73,1275,1278,11.1,62,100,56,1,89,73,82.71
5.9,0,4,65,1363,1031,10.4,53,66,80,3,55,24,66.23
8.1,0,5,62,1449,1935,22.0,28,71,68,0,68,54,77.11
7.9,1,3,26,1419,1229,10.5,63,96,70,6,65,70,80.36
7.8,4,0,23,1715,1671,24.0,47,52,79,2,46,73,73.22
7.9,1,0,14,0,900,2.9,72,52,82,2,68,76,70.06
6.7,1,4,72,1650,1607,22.9,89,54,88,3,78,56,85.24
7.8,2,7,100,1373,1353,13.2,48,97,69,1,94,44,93.16
7.9,2,1,49,1698,1593,23.0,76,61,78,1,90,45,77.15
6.6,1,0,6,1148,900,5.4,52,100,59,1,35,50,62.36
9.7,1,1,22,1709,1845,25.7,54,60,81,2,38,61,73.9
8.1,0,1,33,1760,1284,18.7,66,21,74,0,56,56,59.64
6.1,4,3,58,1582,1167,15.5,24,30,83,1,69,45,73.42
8.3,0,1,26,1657,1591,20.5,28,73,76,1,78,63,69.7
6.3,1,2,10,1697,1999,25.6,61,68,72,5,66,78,71.11
8.4,0,2,7,1814,1802,26.8,12,70,75,1,47,96,65.39
8.9,0,0,4,1722,1796,25.0,79,49,56,4,20,85,69.45
6.5,2,6,82,1862,1694,25.7,84,39,85,2,73,66,86.28
8.7,0,1,0,1028,0,5.5,66,42,86,5,70,62,68.67
8.0,0,8,100,1539,0,16.9,57,58,86,4,70,33,91.17
8.5,1,3,55,1486,0,13.7,79,70,76,1,74,26,83.05
9.8,0,3,45,0,900,3.4,51,89,89,0,89,64,80.18
7.2,0,0,14,1545,1699,22.6,53,76,70,1,22,55,60.15
6.6,3,2,42,1770,1851,25.2,57,62,68,3,87,44,76.31
6.4,2,1,0,1538,1179,15.0,45,100,85,3,86,58,72.53
6.5,3,1,31,1526,1383,18.1,83,59,72,3,34,51,68.93
7.4,3,2,22,1640,1461,20.3,82,25,94,1,87,52,76.62
7.9,2,1,18,1048,1065,6.9,43,41,89,2,59,41,61.98
7.8,0,1,12,1966,0,27.3,46,64,78,2,65,68,65.03
8.5,2,4,74,1468,1383,13.1,53,43,66,1,34,49,77.29
7.5,3,4,40,1943,1319,21.7,81,83,71,4,62,79,89.76
9.2,2,0,30,1243,0,5.6,53,70,76,4,49,59,74.31
7.2,1,8,100,1226,1001,6.6,62,82,100,0,100,54,86.14
10.0,0,2,10,0,0,0.0,40,73,80,2,56,55,68.28
8.3,3,2,25,1431,0,13.2,87,25,85,3,49,50,83.91
6.5,2,1,31,1510,1381,15.7,38,83,69,4,38,30,68.19
6.2,5,2,19,1347,1352,12.0,52,57,78,1,62,75,75.02
8.1,0,2,29,1258,1341,11.0,29,63,70,3,63,73,65.27
7.2,0,3,48,1611,1648,19.8,82,68,72,4,81,51,74.16
8.4,0,0,0,1934,1871,28.9,59,62,60,1,37,68,64.74
8.1,2,1,23,1997,2028,33.4,92,72,81,2,45,21,81.91
7.4,0,2,48,0,900,3.0,42,65,85,3,86,63,71.04
6.5,0,3,44,1411,1734,18.4,78,58,63,2,84,57,67.99
5.7,5,2,18,1176,1416,10.9,67,33,66,3,80,80,76.75
7.0,0,1,39,1421,1541,16.9,45,61,63,3,26,71,63.76
8.5,3,3,66,2013,2200,34.6,48,63,78,4,49,43,82.52
7.8,1,1,27,1808,2049,29.3,69,74,77,1,63,65,72.21
6.0,3,4,43,1615,1963,25.4,59,70,86,3,72,73,78.83
7.7,1,7,80,1359,0,9.4,47,59,66,1,71,69,84.15
8.0,3,1,0,1773,1965,27.2,91,58,74,1,71,47,79.11
6.4,4,2,25,2178,2200,38.1,60,78,70,0,64,90,82.58
7.7,0,5,85,1457,1398,15.3,53,74,84,5,82,65,88.56
7.6,0,3,35,908,1414,10.7,40,51,77,2,61,60,63.44
6.1,1,3,31,1192,0,5.1,50,32,72,1,53,40,57.19
7.9,2,4,73,1518,1259,15.4,21,92,70,2,82,95,82.0
8.2,3,2,51,1453,1564,17.4,60,77,81,1,70,33,84.64
8.8,1,3,37,1908,1878,29.9,73,80,88,4,46,52,86.32
8.8,2,3,53,1322,1087,12.2,85,47,81,0,68,77,84.97
5.8,0,2,20,1447,0,13.5,52,69,74,0,56,43,58.85
6.4,3,5,64,1305,0,9.6,68,43,64,3,60,56,79.25
8.1,4,6,54,1733,1774,25.2,53,80,90,0,77,45,92.62
8.1,1,4,63,1241,900,5.8,27,61,77,6,62,84,81.27
8.1,1,1,20,1429,1343,12.8,23,42,85,5,55,75,68.09
10.0,0,3,35,1042,1292,10.0,58,72,85,1,94,65,81.74
8.2,1,1,20,1341,0,13.1,23,72,88,2,67,87,67.91
8.9,1,3,42,1998,1937,32.5,55,75,93,2,85,69,90.58
8.6,0,1,9,2032,2039,35.9,52,66,54,0,48,59,68.89
8.3,1,3,51,1702,1867,26.0,28,32,79,1,55,63,71.63
7.1,1,2,29,1632,1579,21.1,11,84,89,3,72,77,71.55
8.4,1,2,31,1311,1214,10.1,46,74,78,5,25,49,71.22
6.6,1,1,0,1559,0,19.0,86,60,80,4,41,65,64.23
7.2,0,4,56,1549,1536,18.5,64,81,78,2,80,81,75.61
6.9,2,5,67,1505,1946,22.7,46,39,76,1,80,10,72.61
7.6,2,1,9,1741,1896,26.1,45,56,66,1,50,55,69.13
10.0,1,1,29,1216,1419,13.3,65,85,72,0,61,60,81.32
5.3,0,3,14,2268,0,34.2,61,90,66,1,56,47,66.96
8.3,2,4,50,1987,2200,35.0,71,57,83,0,92,32,84.82
5.6,4,4,62,1256,1116,10.1,91,27,82,3,89,61,85.55
6.9,0,4,89,1532,1244,14.3,79,71,77,1,49,79,85.39
8.8,1,1,1,1320,0,8.7,79,88,54,1,38,48,67.44
7.6,0,1,23,1690,1624,22.5,57,34,74,4,92,49,65.51
6.2,1,3,54,1473,1438,14.3,18,55,66,2,61,62,60.42
6.6,0,4,58,935,1429,8.6,21,77,67,2,88,17,63.62
8.3,1,2,15,1223,0,7.8,68,88,80,2,49,46,71.44
6.6,2,0,2,1897,1881,26.9,49,34,86,3,45,46,55.3
7.8,1,1,0,1434,0,13.7,88,58,91,5,52,85,78.21
7.6,1,2,34,1431,1904,22.5,85,54,81,2,71,65,77.74
6.7,1,3,24,1700,1119,16.2,61,43,92,2,71,66,68.61
10.0,1,0,16,1781,1817,26.7,50,72,64,2,27,50,74.35
8.3,0,1,12,1473,0,14.3,42,69,69,3,44,63,56.44
5.1,0,3,34,850,0,6.3,88,83,77,0,55,68,63.78
7.7,3,4,60,1259,1038,6.9,62,23,84,2,69,71,78.48
6.7,0,3,49,856,900,2.9,46,68,82,3,75,45,69.11
8.5,2,3,59,1080,1147,6.3,57,52,85,3,65,47,79.48
6.5,4,2,30,1523,1204,12.6,55,40,79,0,37,63,72.88
7.4,1,3,44,1513,1773,21.4,91,57,78,1,73,52,82.57
8.1,1,0,0,1882,2200,29.4,63,68,94,1,47,62,67.12
8.5,1,4,79,0,900,2.6,60,55,82,3,93,65,82.65
6.1,3,3,31,1490,0,13.7,35,53,79,1,63,52,68.18
7.1,4,3,56,1236,1040,6.4,68,60,78,3,57,74,81.2
6.9,2,2,44,1860,1739,26.1,60,66,70,3,53,37,73.2
6.7,0,2,39,2025,1883,31.8,69,77,85,1,74,52,73.1
9.6,2,0,6,1774,1974,28.1,60,65,66,1,33,34,73.02
8.0,1,0,4,1479,1558,17.4,53,65,59,2,38,54,61.14
6.0,1,3,45,1407,0,12.7,60,58,95,4,61,61,69.25
8.6,0,6,53,1142,1071,6.9,46,92,92,2,89,58,84.43
10.0,0,1,21,0,900,6.8,62,77,82,1,59,59,73.57
8.7,2,1,44,1262,0,9.2,83,71,81,3,58,60,79.81
5.7,1,0,6,1365,1180,11.7,75,55,75,0,65,35,60.3
6.9,1,2,33,1102,900,4.0,54,60,73,0,45,41,68.67
9.0,1,2,18,1399,1586,17.0,56,35,59,3,75,59,74.08
6.7,3,4,60,1415,1119,11.1,70,52,67,2,85,49,80.58
8.0,2,3,34,0,900,4.1,66,72,68,2,93,44,77.53
8.4,1,3,58,1882,1941,28.9,59,64,78,2,100,56,84.65
6.4,0,0,27,0,900,2.5,49,56,95,2,64,64,56.66
7.4,1,2,54,0,900,1.4,44,84,62,1,79,70,71.31
4.0,4,1,0,1014,900,4.3,43,57,84,4,47,81,59.69
6.3,1,1,32,1551,0,18.5,57,39,84,3,70,55,65.45
7.2,1,7,100,1091,900,3.6,66,35,61,1,100,73,86.88
6.0,1,5,63,913,940,3.5,29,72,63,1,48,50,66.57
9.5,1,1,39,1351,1338,13.2,73,53,80,1,79,93,79.11
5.8,3,1,28,1505,1350,16.1,40,61,80,1,68,53,63.51
7.0,1,2,54,1881,1802,25.6,47,73,90,2,77,52,75.85
7.7,0,1,2,1419,1258,13.5,55,66,82,3,67,52,63.87
9.2,0,4,47,1338,1630,17.5,66,92,66,1,46,37,84.15
5.8,1,3,47,1289,1113,9.6,87,54,78,3,33,90,72.27
8.9,4,3,63,1344,1326,12.4,51,71,70,0,68,69,86.46
7.5,1,3,52,800,900,5.9,79,55,57,0,42,71,70.74
6.3,3,0,0,1254,1082,9.0,52,53,85,3,85,77,64.47
8.1,2,3,72,1740,1898,28.2,83,76,83,2,48,74,95.27
7.7,0,3,41,800,918,5.4,58,77,76,1,85,79,71.26
6.8,0,1,8,1375,1484,14.1,33,35,94,5,64,61,53.55
7.6,0,5,58,1413,1405,14.9,47,49,65,3,87,48,72.54
7.0,2,3,26,1714,1776,26.1,60,63,88,2,50,67,72.46
7.6,0,3,12,1535,1895,21.0,56,71,70,1,100,64,68.44
8.3,1,2,32,1626,1394,17.2,41,44,82,1,62,62,69.78
9.4,1,1,0,1276,1582,14.3,36,58,87,0,96,52,69.39
6.0,2,3,50,972,900,4.5,74,66,69,2,75,48,78.47
10.0,0,3,60,0,900,2.0,18,81,71,1,53,59,78.88
5.2,1,2,39,1340,1125,11.8,69,61,81,5,73,56,68.2
7.3,1,5,70,1457,1668,20.3,40,58,67,1,90,40,78.84
8.2,1,2,10,1847,1524,24.3,94,48,84,1,56,60,74.69
7.8,3,2,46,1071,0,4.4,23,56,78,1,71,41,72.5
6.8,0,4,87,0,0,0.0,22,76,81,2,87,73,71.24
7.3,3,1,43,2126,1929,34.8,52,76,70,2,41,39,77.08
6.9,2,3,26,1551,1373,16.8,78,46,69,2,55,72,71.81
6.8,1,2,32,1271,1241,12.8,99,85,63,1,42,27,71.75
8.5,2,3,41,1256,943,7.1,77,52,80,5,99,49,84.54
7.9,1,3,40,1452,1484,18.2,62,65,65,3,59,88,80.6
6.7,0,2,34,1479,1571,18.5,42,42,74,0,97,75,62.86
8.6,2,3,78,1503,0,14.7,46,92,85,1,67,34,82.51
7.9,1,2,35,1691,1752,23.6,48,76,96,0,23,53,74.33
8.5,2,2,27,1301,1351,12.7,52,67,81,3,75,39,76.99
8.3,1,4,62,1531,1640,19.0,55,57,78,2,80,69,84.35
6.5,3,3,26,1399,1427,15.1,63,93,64,1,61,59,72.43
6.8,1,4,47,1994,2081,32.6,49,68,73,2,69,57,73.63
8.4,0,6,96,957,1044,5.5,62,97,73,4,100,55,85.45
8.2,1,3,48,2143,0,31.2,66,66,81,3,66,73,82.3
7.5,2,3,77,1234,0,6.4,40,64,74,4,60,69,80.31
7.6,2,0,14,1174,1559,12.1,37,75,98,0,16,27,61.33
9.0,1,5,51,1411,0,11.6,79,69,83,0,89,51,86.97
6.8,3,2,10,1564,1535,19.0,62,64,85,3,65,46,78.09
8.2,1,1,37,0,900,2.3,57,70,83,4,62,66,73.68
7.3,1,4,42,1391,1708,19.8,34,75,68,2,82,57,74.58
7.2,3,4,41,1679,2200,29.8,73,48,72,0,78,55,78.94
8.8,3,3,38,1365,1357,14.2,59,66,73,3,43,70,86.33
8.5,2,4,72,0,900,3.8,86,56,89,0,61,32,89.18
8.5,3,1,16,1306,1224,10.7,63,75,88,2,63,60,74.24
9.1,0,4,45,1222,1354,10.0,55,67,81,2,72,77,79.76
7.5,3,1,40,0,900,2.8,48,53,80,1,25,69,66.53
8.3,1,5,85,1878,1746,26.6,88,87,84,4,62,55,93.26
7.1,0,0,35,1615,0,15.2,77,79,63,2,76,61,67.57
7.9,0,2,54,1152,0,7.4,63,82,79,2,10,46,67.4
7.3,1,2,49,1364,1502,15.9,76,82,63,1,17,67,71.89
7.6,1,1,10,1102,0,6.9,66,71,75,2,55,46,64.65
8.2,1,4,67,2317,2200,41.3,27,74,87,1,74,30,82.2
6.5,0,1,40,0,900,3.1,76,56,68,1,55,68,59.81
10.0,1,4,85,0,900,3.1,72,91,91,2,86,90,98.0
6.3,1,2,36,1554,2016,26.6,40,61,85,0,100,68,67.1
6.0,1,1,14,903,900,6.2,70,48,78,2,74,79,61.61
8.9,1,1,8,1092,924,6.0,44,73,77,3,24,42,71.08
8.4,2,3,60,1124,1081,8.1,52,59,68,0,51,69,75.22
8.2,3,2,23,1587,1655,21.3,62,79,66,2,64,75,80.49
8.3,2,0,11,990,900,5.1,61,76,69,1,25,65,64.23
7.5,1,3,32,1090,976,6.7,58,76,72,0,75,28,66.42
6.4,2,1,19,1424,1787,19.3,30,36,81,2,70,76,59.29
7.6,0,0,16,1475,1758,18.9,60,34,68,1,16,69,53.66
6.7,0,6,86,1333,0,8.2,90,62,74,2,81,57,84.81
8.7,1,2,45,1375,1841,23.1,64,69,85,1,69,48,71.88
7.3,3,5,49,1069,961,5.1,56,82,64,2,52,74,80.28
6.5,0,2,32,1633,1716,23.1,72,49,64,4,58,41,69.51
7.1,0,4,50,899,0,3.1,62,45,76,1,80,46,64.61
8.0,0,1,7,1450,1679,19.5,52,51,78,2,47,89,64.78
6.8,3,3,34,2034,1748,31.0,76,42,77,3,86,45,83.01
6.5,2,1,8,1390,1258,10.6,64,51,90,1,39,84,57.7
7.8,1,0,15,1080,900,6.4,67,44,69,2,49,51,66.4
7.8,1,2,40,1465,1200,13.3,56,64,65,2,56,47,63.99
6.9,1,1,35,1407,1221,12.9,58,60,58,1,54,72,60.31
6.9,2,1,26,1555,1346,18.6,74,49,75,2,63,67,70.14
7.8,0,3,48,1550,1710,20.5,50,47,81,0,51,86,69.0
5.8,3,1,23,1788,1691,24.3,100,39,81,5,46,61,77.6
5.8,1,3,56,1349,1285,11.5,49,18,76,3,47,51,62.22
6.6,2,1,0,1249,900,8.1,49,48,74,2,61,61,58.47
7.2,0,4,57,1256,1503,13.5,78,53,79,3,82,56,78.26
7.9,1,3,50,1302,900,8.0,59,30,80,1,62,71,73.44
9.3,1,5,96,0,0,0.0,70,89,68,1,60,65,93.83
8.5,1,5,53,1585,1917,24.7,87,79,83,2,61,62,91.15
7.3,0,1,4,1084,1468,11.3,67,58,84,2,69,95,64.29
7.5,2,3,11,1216,900,6.6,66,29,62,3,28,25,62.55
6.3,0,2,13,1515,1470,16.9,50,76,73,0,58,46,66.02
7.5,2,2,31,1861,2053,30.3,44,54,67,3,47,59,72.72
7.2,3,5,59,1234,1132,8.3,32,35,76,0,59,69,71.57
7.9,1,5,58,1604,0,18.5,47,43,71,1,88,66,76.67
6.5,2,2,34,1437,927,9.2,51,50,79,1,60,41,67.05
8.1,2,0,18,1651,1689,20.2,46,48,66,1,39,35,64.72
9.3,1,4,58,1517,1629,18.6,55,56,81,2,77,46,86.31
7.4,3,3,46,1508,1221,13.8,51,30,100,1,74,50,72.78
8.0,1,5,76,2265,2200,39.4,75,86,80,1,94,79,92.72
8.3,1,0,0,2378,2121,40.5,36,79,90,3,57,71,75.36
7.0,2,1,23,1421,1826,21.6,77,48,75,1,49,36,69.09
7.8,1,2,32,1224,1143,8.1,72,76,67,1,92,48,72.67
7.5,1,1,21,1572,1532,18.6,43,54,74,3,85,81,72.51
7.6,1,4,49,1681,1422,19.7,37,62,83,0,100,49,76.99
6.6,3,1,18,1896,1808,28.8,70,40,77,2,79,76,71.16
7.5,4,4,64,0,900,2.0,70,70,74,0,82,57,85.83
8.1,1,0,34,826,901,2.9,45,76,85,1,11,65,61.54
9.2,2,0,0,1376,1440,14.7,36,70,76,1,84,87,74.57
8.7,3,3,54,1347,1324,13.7,52,57,61,0,67,51,79.75
10.0,0,4,76,0,900,4.0,10,37,83,4,67,47,71.15
6.6,0,4,38,1257,983,7.1,69,73,80,3,79,50,72.36
8.5,2,3,43,1050,0,3.7,48,61,89,2,55,58,79.59
7.7,3,1,26,0,900,2.2,63,50,81,3,77,61,73.92
10.0,3,2,64,1432,1245,12.8,92,59,71,2,34,47,90.68
6.5,1,1,54,1711,1785,25.4,52,63,81,1,77,78,69.26
6.5,0,3,26,1126,900,3.9,72,39,76,3,77,63,61.75
6.8,1,3,41,1526,1632,18.6,55,66,79,2,67,69,74.51
5.0,0,3,48,1625,1915,27.3,52,50,88,3,90,36,64.96
6.9,1,0,18,1993,2023,32.9,87,48,73,0,67,27,68.85
6.6,2,1,25,1690,0,18.4,50,46,75,1,100,43,63.13
7.7,0,0,0,1474,0,13.1,69,68,54,3,43,74,65.9
7.9,3,2,19,1593,1663,20.5,65,23,94,2,63,31,73.86
9.8,1,4,34,1728,1556,22.9,67,58,77,0,74,33,85.8
8.6,1,2,3,0,900,3.7,71,75,71,5,82,35,74.56
